id,title,course,contributor,current_tier,target_tier,current_path,target_path,size_bytes,reason,action
ads2-hal-2022-2023,ADS2 Hal Materials,ADS2,Hal,large_archive,large_archive,LARGE_ARCHIVES/COURSES/Year2/ADS2/Hal/ads2_hal_2022_2023,LARGE_ARCHIVES/COURSES/Year2/ADS2/Hal/ads2_hal_2022_2023,375762144,contains .one,none
ads2-exam-skill-bundle-yiru,ADS2 Yiru Exam Skill Bundle,ADS2,Yiru,core,core,COURSES/Year2/ADS2/Yiru/ADS2_Yiru_exam_skill_bundle,COURSES/Year2/ADS2/Yiru/ADS2_Yiru_exam_skill_bundle,43496,below large threshold,none
bg2-hal-2022-2023,BG2 Hal Materials,BG2,Hal,large_archive,large_archive,LARGE_ARCHIVES/COURSES/Year2/BG2/Hal/bg2_hal_2022_2023,LARGE_ARCHIVES/COURSES/Year2/BG2/Hal/bg2_hal_2022_2023,602142144,contains .one,none
bia4-hal-2024-2025,BIA4 Hal Materials,BIA4,Hal,large_archive,large_archive,LARGE_ARCHIVES/COURSES/Year4/BIA4/Hal/bia4_hal_2024_2025,LARGE_ARCHIVES/COURSES/Year4/BIA4/Hal/bia4_hal_2024_2025,301353768,contains .one,none
bmi3-hal-2023-2024,BMI3 Hal Materials,BMI3,Hal,large_archive,large_archive,LARGE_ARCHIVES/COURSES/Year3/BMI3/Hal/bmi3_hal_2023_2024,LARGE_ARCHIVES/COURSES/Year3/BMI3/Hal/bmi3_hal_2023_2024,810040576,contains .one,none
cbsb3-hal-2023-2024,CBSB3 Hal Materials,CBSB3,Hal,large_archive,large_archive,LARGE_ARCHIVES/COURSES/Year3/CBSB3/Hal/cbsb3_hal_2023_2024,LARGE_ARCHIVES/COURSES/Year3/CBSB3/Hal/cbsb3_hal_2023_2024,647058112,contains .one,none
chem1-hal-2021-2022,CHEM1 Hal Materials,CHEM1,Hal,large_archive,large_archive,LARGE_ARCHIVES/COURSES/Year1/CHEM1/Hal/chem1_hal_2021_2022,LARGE_ARCHIVES/COURSES/Year1/CHEM1/Hal/chem1_hal_2021_2022,165211040,contains .one,none
dst2-hal-2022-2023,DST2 Hal Materials,DST2,Hal,large_archive,large_archive,LARGE_ARCHIVES/COURSES/Year2/DST2/Hal/dst2_hal_2022_2023,LARGE_ARCHIVES/COURSES/Year2/DST2/Hal/dst2_hal_2022_2023,231872160,contains .one,none
gp2-hal-2022-2023,GP2 Hal Materials,GP2,Hal,large_archive,large_archive,LARGE_ARCHIVES/COURSES/Year2/GP2/Hal/gp2_hal_2022_2023,LARGE_ARCHIVES/COURSES/Year2/GP2/Hal/gp2_hal_2022_2023,452230464,contains .one,none
ibi1-hal-2021-2022,IBI1 Hal Materials,IBI1,Hal,large_archive,large_archive,LARGE_ARCHIVES/COURSES/Year1/IBI1/Hal/ibi1_hal_2021_2022,LARGE_ARCHIVES/COURSES/Year1/IBI1/Hal/ibi1_hal_2021_2022,235307656,contains .one,none
