id,title,course,contributor,resource_type,release_tier,public_url_status,public_url,github_url,onedrive_url
ads2-exam-skill-bundle-yiru,ADS2 Yiru Exam Skill Bundle,ADS2,Yiru,folder_bundle,core,released,https://github.com/CHENyiru3/awesome_ZJE_resource/tree/main/resources/COURSES/Year2/ADS2/Yiru/ADS2_Yiru_exam_skill_bundle,https://github.com/CHENyiru3/awesome_ZJE_resource/tree/main/resources/COURSES/Year2/ADS2/Yiru/ADS2_Yiru_exam_skill_bundle,https://zjuintl-my.sharepoint.com/:f:/g/personal/yiru_22_intl_zju_edu_cn/IgAQsSutUsB9SKby83Q5DBL8ARaH6G0SwoRC1PcAGeImmn4?e=c7kbO5
zip-ifbs-theme34-yue,IFBS2 Yue Theme 3-4 Notes,IFBS2,Yue,folder_bundle,core,released,https://github.com/CHENyiru3/awesome_ZJE_resource/tree/main/resources/COURSES/Year2/IFBS2/Yue/IFBS2_Yue_theme3_theme4,https://github.com/CHENyiru3/awesome_ZJE_resource/tree/main/resources/COURSES/Year2/IFBS2/Yue/IFBS2_Yue_theme3_theme4,https://zjuintl-my.sharepoint.com/:f:/g/personal/yiru_22_intl_zju_edu_cn/IgAQsSutUsB9SKby83Q5DBL8ARaH6G0SwoRC1PcAGeImmn4?e=c7kbO5
zip-pon-yue,PoN3 Yue Notes,PoN3,Yue,folder_bundle,core,released,https://github.com/CHENyiru3/awesome_ZJE_resource/tree/main/resources/COURSES/Year3/PoN3/Yue/PoN3_Yue_notes,https://github.com/CHENyiru3/awesome_ZJE_resource/tree/main/resources/COURSES/Year3/PoN3/Yue/PoN3_Yue_notes,https://zjuintl-my.sharepoint.com/:f:/g/personal/yiru_22_intl_zju_edu_cn/IgBFjNEq0SJTRoSULgSHjztQARzlUUuGBtdTGMKUllexUtA?e=GY314i
zip-bg2-sum-yiru,BG2 Yiru Summary,BG2,Yiru,folder_bundle,core,released,https://github.com/CHENyiru3/awesome_ZJE_resource/tree/main/resources/COURSES/Year2/BG2/Yiru/BG2_Yiru_summary,https://github.com/CHENyiru3/awesome_ZJE_resource/tree/main/resources/COURSES/Year2/BG2/Yiru/BG2_Yiru_summary,https://zjuintl-my.sharepoint.com/:f:/g/personal/yiru_22_intl_zju_edu_cn/IgAQsSutUsB9SKby83Q5DBL8ARaH6G0SwoRC1PcAGeImmn4?e=c7kbO5
zip-code-cheatsheet-yiru,Code Cheatsheet Yiru Collection,Code_Cheatsheet,Yiru,folder_bundle,core,released,https://github.com/CHENyiru3/awesome_ZJE_resource/tree/main/resources/COURSES/Shared/Code_Cheatsheet/Yiru/Code_Cheatsheet_Yiru_collection,https://github.com/CHENyiru3/awesome_ZJE_resource/tree/main/resources/COURSES/Shared/Code_Cheatsheet/Yiru/Code_Cheatsheet_Yiru_collection,https://zjuintl-my.sharepoint.com/:f:/g/personal/yiru_22_intl_zju_edu_cn/IgDoBTOVj1tKQIgVTYuh7EiiARbvwTZYgynoP30JCfSy3Rk?e=AlKMq4
zip-gp2-sum-yiru,GP2 Yiru Summary,GP2,Yiru,folder_bundle,core,released,https://github.com/CHENyiru3/awesome_ZJE_resource/tree/main/resources/COURSES/Year2/GP2/Yiru/GP2_Yiru_summary,https://github.com/CHENyiru3/awesome_ZJE_resource/tree/main/resources/COURSES/Year2/GP2/Yiru/GP2_Yiru_summary,https://zjuintl-my.sharepoint.com/:f:/g/personal/yiru_22_intl_zju_edu_cn/IgAQsSutUsB9SKby83Q5DBL8ARaH6G0SwoRC1PcAGeImmn4?e=c7kbO5
zip-ibms3-full-yiru,IBMS3 Yiru Full Notes,IBMS3,Yiru,folder_bundle,core,released,https://github.com/CHENyiru3/awesome_ZJE_resource/tree/main/resources/COURSES/Year3/IBMS3/Yiru/IBMS3_Yiru_full_notes,https://github.com/CHENyiru3/awesome_ZJE_resource/tree/main/resources/COURSES/Year3/IBMS3/Yiru/IBMS3_Yiru_full_notes,https://zjuintl-my.sharepoint.com/:f:/g/personal/yiru_22_intl_zju_edu_cn/IgBFjNEq0SJTRoSULgSHjztQARzlUUuGBtdTGMKUllexUtA?e=GY314i
zip-iid4-full-yiru,IID4 Yiru Full Notes,IID_4,Yiru,folder_bundle,core,released,https://github.com/CHENyiru3/awesome_ZJE_resource/tree/main/resources/COURSES/Year4/IID_4/Yiru/IID4_Yiru_full_notes,https://github.com/CHENyiru3/awesome_ZJE_resource/tree/main/resources/COURSES/Year4/IID_4/Yiru/IID4_Yiru_full_notes,https://zjuintl-my.sharepoint.com/:f:/g/personal/yiru_22_intl_zju_edu_cn/IgCSCCfBxURMSq5JFol9LPT0AUOWaYbFo67D2u_X_O8z508?e=vYnq5P
zip-mbe3-sum-yiru,MBE3 Yiru Summary,MBE3,Yiru,folder_bundle,core,released,https://github.com/CHENyiru3/awesome_ZJE_resource/tree/main/resources/COURSES/Year3/MBE3/Yiru/MBE3_Yiru_summary,https://github.com/CHENyiru3/awesome_ZJE_resource/tree/main/resources/COURSES/Year3/MBE3/Yiru/MBE3_Yiru_summary,https://zjuintl-my.sharepoint.com/:f:/g/personal/yiru_22_intl_zju_edu_cn/IgBFjNEq0SJTRoSULgSHjztQARzlUUuGBtdTGMKUllexUtA?e=GY314i
zip-pon3-full-yiru,PoN3 Yiru Full Notes,PoN3,Yiru,folder_bundle,core,released,https://github.com/CHENyiru3/awesome_ZJE_resource/tree/main/resources/COURSES/Year3/PoN3/Yiru/PoN3_Yiru_full_notes,https://github.com/CHENyiru3/awesome_ZJE_resource/tree/main/resources/COURSES/Year3/PoN3/Yiru/PoN3_Yiru_full_notes,https://zjuintl-my.sharepoint.com/:f:/g/personal/yiru_22_intl_zju_edu_cn/IgBFjNEq0SJTRoSULgSHjztQARzlUUuGBtdTGMKUllexUtA?e=GY314i
